Anio,Mes_referencia,Indice_IPC,Factor_acumulado_desde_sep_2016,Deflactor_a_pesos_constantes_sep_2016,Fuente
2016,Septiembre,95.0014,1.0,1.0,IPC-GBA oficial
2017,Septiembre,117.5719,1.2375807093369149,0.8080281087572796,IPC nacional oficial
2018,Septiembre,165.2383,1.7393248941594546,0.5749357140566079,IPC nacional oficial
2019,Septiembre,253.7102,2.670594328083586,0.3744484849249262,IPC nacional oficial
2020,Septiembre,346.6207,3.6485851787447343,0.2740788418002733,IPC nacional oficial
2021,Septiembre,528.4968,5.563042228851364,0.1797577582305134,IPC nacional oficial
2022,Septiembre,967.3076,10.182035212112662,0.09821219227472214,IPC nacional oficial
2023,Septiembre,2304.9242,24.262002454700667,0.04121671333052948,IPC nacional oficial
2024,Septiembre,7122.2421,74.96986465462615,0.013338692881557621,IPC nacional oficial
2025,Septiembre,9384.0922,98.7784622121358,0.010123664385991434,IPC nacional oficial
