Año,Aglomerado,Ingreso Ocup. Principal Real Medio ($)
2016,Partidos del GBA,9971.95
2016,Gran Rosario,11046.74
2017,Partidos del GBA,10567.6
2017,Gran Rosario,11178.25
2018,Partidos del GBA,9301.06
2018,Gran Rosario,9907.24
2019,Partidos del GBA,8954.71
2019,Gran Rosario,9653.58
2020,Partidos del GBA,8522.48
2020,Gran Rosario,8544.78
2021,Partidos del GBA,8491.06
2021,Gran Rosario,8780.93
2022,Partidos del GBA,7348.57
2022,Gran Rosario,7852.03
2023,Partidos del GBA,7280.58
2023,Gran Rosario,8275.3
2024,Partidos del GBA,7736.48
2024,Gran Rosario,8614.51
2025,Partidos del GBA,9204.55
2025,Gran Rosario,10622.06
