Año,Aglomerado,Actividad (%),Empleo (%),Desocupación (%)
2016,Partidos del GBA,46.05,41.17,10.58
2016,Gran Rosario,47.38,42.98,9.29
2017,Partidos del GBA,46.62,41.83,10.28
2017,Gran Rosario,46.52,42.64,8.36
2018,Partidos del GBA,46.79,41.63,11.02
2018,Gran Rosario,47.5,43.74,7.92
2019,Partidos del GBA,46.03,40.49,12.05
2019,Gran Rosario,46.26,42.24,8.68
2020,Partidos del GBA,39.78,33.91,14.76
2020,Gran Rosario,46.52,41.35,11.11
2021,Partidos del GBA,46.16,41.78,9.5
2021,Gran Rosario,49.87,45.96,7.84
2022,Partidos del GBA,47.41,43.09,9.11
2022,Gran Rosario,50.69,47.63,6.04
2023,Partidos del GBA,47.6,44.34,6.85
2023,Gran Rosario,48.92,46.35,5.26
2024,Partidos del GBA,48.05,44.01,8.4
2024,Gran Rosario,50.63,47.71,5.76
2025,Partidos del GBA,47.95,44.32,7.57
2025,Gran Rosario,53.33,48.61,8.87
